vnk,oil
0.140226628895184,23012.99
0.133979993937557,23210.93
0.14003294892916,23356.61
0.205795387344766,23458.07
0.244604316546763,23499.77
0.253295668549906,23563.49
0.248400852878465,23676.05
0.305385139740968,23852.09
0.236311239193084,23997.83
0.332854268467951,24206.57
0.340007024938532,24719.03
0.376420454545454,24761.27
0.395175438596491,24898.07
0.350806451612903,24942.71
0.356699029126214,25251.71
0.445662535748332,25377.59
0.402189997040545,25783.07
0.503556187766714,25825.25
0.469308700834327,26026.61
0.586956521739131,26297.09
0.494455792238109,26708.33
0.607669616519174,26810.03
0.547921071176885,27150.59
0.840867992766727,27183.77
0.709564541213064,27492.41
0.871362586605081,27752.21
1.03507776138041,28280.75
0.871504009387835,28587.53
1.07923378319547,29000.99
1.27202643171806,29109.95
1.36231884057971,29333.51
